,Test Set Predictions
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,12
8,13
9,20
10,6
11,9
12,11
13,14
14,4
15,5
16,6
17,3
18,2
19,12
20,3
21,0
22,9
23,17
24,9
25,25
26,22
27,20
28,23
29,24
30,25
31,23
32,6
33,14
34,20
35,24
36,2
37,19
38,9
39,17
40,16
41,20
42,13
43,15
44,13
45,13
46,13
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,15
55,2
56,22
57,9
58,1
59,14
60,0
61,2
62,11
63,10
64,0
65,0
66,2
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,24
75,18
76,15
77,5
78,14
79,19
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,Precision
0,0.5
1,0.0
2,0.5
3,0.3333333333333333
4,1.0
5,0.5
6,0.3333333333333333
7,1.0
8,1.0
9,0.6
10,0.0
11,1.0
12,0.0
13,0.5
14,0.4
15,0.3333333333333333
16,1.0
17,0.6666666666666666
18,1.0
19,0.5
20,0.5
21,0.5
22,0.25
23,0.5
24,0.3333333333333333
25,0.0
,Recall
0,0.75
1,0.0
2,0.75
3,0.3333333333333333
4,0.5
5,0.5
6,0.25
7,0.3333333333333333
8,0.3333333333333333
9,0.75
10,0.0
11,0.75
12,0.0
13,0.75
14,0.6666666666666666
15,0.3333333333333333
16,0.3333333333333333
17,0.5
18,0.6666666666666666
19,0.5
20,1.0
21,0.3333333333333333
22,0.3333333333333333
23,0.5
24,0.6666666666666666
25,0.0
,f1
0,0.6
1,0.0
2,0.6
3,0.3333333333333333
4,0.6666666666666666
5,0.5
6,0.28571428571428575
7,0.5
8,0.5
9,0.6666666666666665
10,0.0
11,0.8571428571428571
12,0.0
13,0.6
14,0.5
15,0.3333333333333333
16,0.5
17,0.5714285714285715
18,0.8
19,0.5
20,0.6666666666666666
21,0.4
22,0.28571428571428575
23,0.5
24,0.4444444444444444
25,0.0
,"0.accuracy, 1.macro avg, 2.weighted avg"
0,0.475
1,0.44658119658119666
2,0.46059523809523817
