,Test Set Predictions
0,9
1,0
2,9
3,5
4,9
5,1
6,1
7,3
8,8
9,9
10,0
11,1
12,1
13,5
14,1
15,3
16,9
17,9
18,7
19,1
20,6
21,1
22,9
23,7
24,9
25,8
26,1
27,1
28,8
29,9
30,9
31,8
32,8
33,9
34,4
35,1
36,9
37,9
38,1
39,1
40,1
41,7
42,2
43,5
44,9
45,0
46,1
47,1
48,5
49,1
50,5
51,0
52,5
53,9
54,0
55,1
56,8
57,5
58,9
59,1
60,1
61,9
62,0
63,0
64,2
65,0
66,1
67,4
68,0
69,2
70,3
71,0
72,1
73,9
74,6
75,8
76,9
77,1
78,4
79,9
80,9
81,1
82,8
83,5
84,0
85,9
86,8
87,9
88,7
89,4
90,8
91,5
92,1
93,1
94,5
95,1
96,9
97,9
98,0
99,0
100,9
101,8
102,8
103,2
104,5
105,5
106,8
107,5
108,9
109,4
110,1
111,9
112,9
113,5
114,8
115,4
116,8
117,4
118,8
119,9
120,3
121,5
122,5
123,9
124,1
125,1
126,6
127,9
128,0
129,4
130,1
131,1
132,8
133,1
134,8
135,1
136,4
137,2
138,0
139,8
140,5
141,0
142,1
143,9
144,4
145,4
146,9
147,5
148,9
149,1
150,1
151,4
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,6
161,8
162,0
163,1
164,1
165,1
166,6
167,1
168,9
169,8
170,5
171,9
172,5
173,0
174,9
175,1
176,1
177,0
178,8
179,5
180,9
181,1
182,1
183,9
184,4
185,9
186,2
187,4
188,4
189,0
190,1
191,9
192,1
193,9
194,9
195,7
196,9
197,7
198,1
199,9
200,5
201,0
202,9
203,0
204,4
205,8
206,8
207,9
208,5
209,0
210,4
211,9
212,0
213,0
214,9
215,0
216,8
217,1
218,1
219,9
220,8
221,1
222,9
223,9
224,9
225,3
226,9
227,5
228,0
229,1
230,9
231,1
232,1
233,0
234,1
235,6
236,5
237,9
238,0
239,1
240,9
241,0
242,9
243,9
244,1
245,1
246,5
247,6
248,4
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,4
258,0
259,1
260,4
261,1
262,0
263,1
264,4
265,2
266,9
267,9
268,7
269,0
270,9
271,9
272,9
273,1
274,7
275,2
276,5
277,8
278,9
279,5
280,0
281,6
282,4
283,6
284,3
285,9
286,0
287,1
288,9
289,1
290,3
291,4
292,8
293,8
294,1
295,6
296,1
297,0
298,8
299,4
300,1
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,9
309,1
310,9
311,1
312,1
313,5
314,1
315,8
316,5
317,5
318,9
319,7
320,9
321,8
322,9
323,9
324,9
325,9
326,9
327,0
328,1
329,5
330,5
331,1
332,9
333,4
334,1
335,6
336,7
337,1
338,9
339,4
340,8
341,9
342,5
343,8
344,0
345,4
346,9
347,4
348,2
349,4
350,9
351,3
352,8
353,8
354,1
355,4
356,9
357,1
358,6
359,1
360,3
361,5
362,2
363,5
364,9
365,2
366,1
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,9
376,1
377,9
378,8
379,9
380,1
381,9
382,1
383,1
384,1
385,9
386,4
387,4
388,9
389,0
390,9
391,9
392,0
393,1
394,4
395,1
396,2
397,8
398,9
399,1
400,0
401,9
402,1
403,9
404,8
405,1
406,8
407,9
408,8
409,9
410,5
411,6
412,1
413,1
414,1
415,1
416,9
417,1
418,9
419,5
420,9
421,5
422,1
423,9
424,8
425,0
426,9
427,5
428,0
429,8
430,9
431,0
432,1
433,9
434,9
435,1
436,1
437,9
438,4
439,5
440,1
441,0
442,0
443,1
444,0
445,9
446,8
447,8
448,0
449,9
450,4
451,4
452,1
453,5
454,8
455,0
456,9
457,0
458,1
459,9
460,1
461,8
462,8
463,9
464,8
465,9
466,1
467,8
468,7
469,8
470,9
471,8
472,2
473,9
474,3
475,5
476,5
477,0
478,8
479,6
480,8
481,1
482,6
483,3
484,9
485,4
486,5
487,8
488,0
489,0
490,3
491,5
492,4
493,1
494,8
495,1
496,3
497,0
498,0
499,1
500,9
501,8
502,9
503,4
504,9
505,0
506,9
507,1
508,5
509,9
510,9
511,1
512,1
513,1
514,5
515,0
516,1
517,4
518,9
519,9
,0,1,2,3,4,5,6,7,8,9
0,42,3,3,0,1,0,2,0,3,1
1,4,110,0,3,0,0,3,0,2,3
2,1,0,4,0,0,0,0,0,3,7
3,1,2,0,11,1,0,0,0,0,0
4,5,2,0,1,23,3,1,0,1,14
5,1,0,1,0,2,42,0,0,0,9
6,1,1,0,0,1,0,7,0,2,3
7,0,1,0,0,0,0,0,13,0,1
8,0,0,0,0,1,1,0,0,44,4
9,4,5,5,0,11,9,2,0,2,87
,Precision
0,0.711864406779661
1,0.8870967741935484
2,0.3076923076923077
3,0.7333333333333333
4,0.575
5,0.7636363636363637
6,0.4666666666666667
7,1.0
8,0.7719298245614035
9,0.6744186046511628
,Recall
0,0.7636363636363637
1,0.88
2,0.26666666666666666
3,0.7333333333333333
4,0.46
5,0.7636363636363637
6,0.4666666666666667
7,0.8666666666666667
8,0.88
9,0.696
,f1
0,0.736842105263158
1,0.8835341365461847
2,0.28571428571428575
3,0.7333333333333333
4,0.5111111111111112
5,0.7636363636363637
6,0.4666666666666667
7,0.9285714285714286
8,0.822429906542056
9,0.68503937007874
,"0.accuracy, 1.macro avg, 2.weighted avg"
0,0.7365384615384616
1,0.6816878707463327
2,0.7336333475279487
