,Test Set Predictions
0,9
1,0
2,4
3,5
4,9
5,1
6,1
7,3
8,8
9,9
10,0
11,1
12,3
13,9
14,9
15,3
16,9
17,9
18,7
19,1
20,6
21,1
22,9
23,7
24,9
25,8
26,1
27,1
28,8
29,8
30,9
31,8
32,8
33,9
34,8
35,1
36,9
37,9
38,1
39,1
40,1
41,7
42,0
43,5
44,9
45,9
46,1
47,1
48,5
49,1
50,8
51,0
52,5
53,9
54,0
55,0
56,8
57,5
58,4
59,1
60,1
61,9
62,0
63,0
64,9
65,0
66,1
67,4
68,0
69,2
70,3
71,1
72,1
73,9
74,5
75,8
76,4
77,1
78,4
79,9
80,7
81,1
82,0
83,5
84,0
85,6
86,9
87,9
88,7
89,6
90,8
91,4
92,1
93,1
94,5
95,1
96,9
97,9
98,0
99,0
100,4
101,8
102,8
103,2
104,4
105,5
106,8
107,5
108,5
109,4
110,1
111,9
112,5
113,5
114,8
115,9
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,1
126,2
127,4
128,4
129,9
130,1
131,1
132,8
133,1
134,9
135,1
136,4
137,9
138,0
139,8
140,5
141,0
142,1
143,4
144,4
145,4
146,9
147,9
148,9
149,1
150,1
151,5
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,0
161,8
162,0
163,1
164,1
165,1
166,1
167,1
168,9
169,0
170,5
171,9
172,5
173,0
174,4
175,1
176,1
177,0
178,8
179,5
180,4
181,1
182,5
183,9
184,4
185,1
186,9
187,4
188,8
189,3
190,1
191,9
192,1
193,8
194,5
195,7
196,9
197,7
198,9
199,9
200,9
201,0
202,9
203,0
204,5
205,1
206,8
207,1
208,5
209,0
210,4
211,5
212,0
213,8
214,9
215,0
216,8
217,1
218,1
219,9
220,8
221,1
222,4
223,4
224,4
225,3
226,9
227,5
228,8
229,1
230,9
231,1
232,4
233,9
234,1
235,6
236,5
237,9
238,8
239,1
240,2
241,0
242,9
243,9
244,1
245,1
246,5
247,0
248,9
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,3
258,1
259,1
260,4
261,1
262,1
263,1
264,5
265,5
266,9
267,2
268,7
269,8
270,5
271,4
272,9
273,1
274,7
275,0
276,5
277,8
278,9
279,5
280,0
281,4
282,4
283,6
284,3
285,9
286,0
287,1
288,5
289,1
290,3
291,9
292,8
293,8
294,1
295,9
296,1
297,0
298,8
299,5
300,1
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,1
309,1
310,9
311,9
312,1
313,4
314,1
315,8
316,5
317,9
318,9
319,7
320,9
321,1
322,9
323,5
324,0
325,5
326,9
327,0
328,1
329,5
330,5
331,1
332,9
333,4
334,1
335,9
336,7
337,1
338,9
339,4
340,8
341,5
342,5
343,8
344,0
345,5
346,5
347,4
348,9
349,9
350,5
351,3
352,8
353,8
354,1
355,9
356,9
357,1
358,8
359,6
360,0
361,9
362,0
363,9
364,4
365,2
366,8
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,4
376,1
377,9
378,8
379,8
380,1
381,9
382,1
383,1
384,1
385,9
386,4
387,4
388,9
389,1
390,9
391,9
392,0
393,1
394,5
395,1
396,2
397,8
398,2
399,1
400,1
401,9
402,0
403,9
404,8
405,7
406,8
407,9
408,8
409,4
410,5
411,6
412,1
413,9
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,9
422,0
423,9
424,8
425,0
426,9
427,5
428,4
429,8
430,9
431,0
432,1
433,9
434,9
435,1
436,1
437,9
438,9
439,5
440,1
441,0
442,0
443,1
444,0
445,8
446,8
447,8
448,0
449,5
450,9
451,9
452,1
453,2
454,8
455,0
456,1
457,0
458,1
459,9
460,1
461,8
462,8
463,9
464,8
465,4
466,1
467,8
468,7
469,8
470,9
471,8
472,2
473,9
474,3
475,9
476,5
477,0
478,8
479,0
480,6
481,8
482,1
483,8
484,9
485,4
486,9
487,8
488,9
489,0
490,1
491,5
492,4
493,1
494,8
495,1
496,3
497,0
498,0
499,1
500,9
501,0
502,5
503,4
504,9
505,0
506,2
507,1
508,5
509,8
510,9
511,1
512,1
513,9
514,4
515,0
516,1
517,9
518,6
519,5
,0,1,2,3,4,5,6,7,8,9
0,50,1,0,0,0,1,0,0,2,1
1,1,120,0,0,0,0,1,0,3,0
2,0,0,8,0,0,1,0,0,5,1
3,1,0,0,14,0,0,0,0,0,0
4,3,1,0,0,38,4,0,0,3,1
5,0,0,0,0,1,52,0,0,0,2
6,2,2,1,0,0,0,8,0,1,1
7,0,0,0,0,0,0,0,15,0,0
8,0,1,0,0,0,1,0,0,47,1
9,1,0,2,0,6,4,0,0,4,108
,Precision
0,0.8620689655172413
1,0.96
2,0.7272727272727273
3,1.0
4,0.8444444444444444
5,0.8253968253968254
6,0.8888888888888888
7,1.0
8,0.7230769230769231
9,0.9391304347826087
,Recall
0,0.9090909090909091
1,0.96
2,0.5333333333333333
3,0.9333333333333333
4,0.76
5,0.9454545454545454
6,0.5333333333333333
7,1.0
8,0.94
9,0.864
,f1
0,0.8849557522123893
1,0.96
2,0.6153846153846153
3,0.9655172413793104
4,0.8
5,0.8813559322033897
6,0.6666666666666667
7,1.0
8,0.8173913043478259
9,0.8999999999999999
,"0.accuracy, 1.macro avg, 2.weighted avg"
0,0.8846153846153846
1,0.8491271512194197
2,0.8831350686763808
