,Test Set Predictions
0,4
1,13
2,17
3,2
4,18
5,17
6,11
7,23
8,22
9,20
10,11
11,9
12,11
13,5
14,4
15,5
16,0
17,8
18,2
19,0
20,16
21,0
22,9
23,17
24,9
25,1
26,21
27,8
28,24
29,0
30,3
31,17
32,10
33,16
34,10
35,17
36,16
37,19
38,15
39,15
40,16
41,11
42,13
43,1
44,13
45,7
46,10
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,3
55,14
56,25
57,9
58,15
59,14
60,12
61,2
62,11
63,7
64,17
65,6
66,6
67,20
68,12
69,13
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,5
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Precision
0,0.6
1,1.0
2,1.0
3,1.0
4,1.0
5,0.3333333333333333
6,1.0
7,0.3333333333333333
8,1.0
9,0.75
10,0.3333333333333333
11,0.8
12,0.5
13,1.0
14,1.0
15,0.75
16,0.75
17,0.42857142857142855
18,1.0
19,0.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
,Recall
0,0.75
1,1.0
2,0.75
3,1.0
4,1.0
5,0.5
6,0.75
7,0.3333333333333333
8,1.0
9,0.75
10,0.3333333333333333
11,1.0
12,0.3333333333333333
13,1.0
14,1.0
15,1.0
16,1.0
17,0.75
18,0.6666666666666666
19,0.0
20,1.0
21,1.0
22,1.0
23,0.5
24,1.0
25,0.3333333333333333
,f1
0,0.6666666666666665
1,1.0
2,0.8571428571428571
3,1.0
4,1.0
5,0.4
6,0.8571428571428571
7,0.3333333333333333
8,1.0
9,0.75
10,0.3333333333333333
11,0.888888888888889
12,0.4
13,1.0
14,1.0
15,0.8571428571428571
16,0.8571428571428571
17,0.5454545454545454
18,0.8
19,0.0
20,1.0
21,1.0
22,1.0
23,0.6666666666666666
24,1.0
25,0.5
,"0.accuracy, 1.macro avg, 2.weighted avg"
0,0.775
1,0.7581890331890333
2,0.7704671717171717
